;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q1-2007;1.5;0.8;1.4;0.6;0.8;0.1;0;0.7;1.7;0.7;1.1;0.1;0.9;1.1;0.9;0.9;0.2
Q2-2007;0.6;1.2;0.5;1;0.7;0.8;0.1;0.1;1.7;0.8;0.5;0;0.9;0.5;1.1;0.6;0.6
Q3-2007;1.1;0.3;0.8;0.4;0.4;0.5;0.2;-0.5;1.2;0.6;1.1;1.3;0.8;0.7;0.8;0.8;0.5
Q4-2007;0.5;0.7;0.4;0.1;0.2;0.6;-0.3;0.5;2.2;0.4;1.4;1.1;0.6;1;0.6;0.5;0.6
Q1-2008;1.1;1.4;0.4;0.1;0.4;0.7;1;0.3;0.4;-0.3;0.3;-1.3;0.2;-0.3;0.9;0.5;-0.6
Q2-2008;0.2;-0.5;0.1;0.4;-0.5;-0.3;-0.9;-0.4;0.5;0.9;0.5;0;0.1;-0.2;0.7;-0.6;0.5
Q3-2008;0.8;-0.6;-0.6;0.8;-0.3;-0.6;-1.2;-1.2;0.8;0.3;-0.1;-0.2;-0.2;-0.5;0.1;-1.6;-0.5
Q4-2008;-0.5;-1.9;-2.2;-1.2;-1.4;-1.6;-2.5;-2.4;-3.3;-1.6;-0.7;0.3;-1.6;-3.8;-1.9;-2.1;-2.2
Q1-2009;1;-1.5;-1;-2.3;-1.6;-4.7;-2.8;-4.8;0.1;-5.1;-3.6;-0.8;-2.6;-0.8;-1.6;-1.7;-1.1
Q2-2009;0.6;-0.9;0;-1.1;-0.1;0.1;-0.3;2.1;1.3;-1.5;0;-0.9;0;-0.2;0;-0.2;-0.1
Q3-2009;0.3;0.3;1.3;0.4;0.2;0.6;0.5;0;3;3.2;0.4;0.1;0.2;-0.2;1;0.1;0.4
Q4-2009;0.7;1.1;0.8;1.2;0.7;0.7;0.3;1.4;0.7;1.7;0.6;0.1;0;0.3;0.3;0.3;1.1
Q1-2010;0.5;-0.8;0.5;1.2;0.4;0.8;0.3;0.9;2;1.1;-0.2;2;0;3.5;1;0.6;0.4
Q2-2010;0.5;1.7;1;0.5;0.5;2.2;0.7;1.4;1.9;1;0.4;-1.1;0.1;1.8;1;1;0.9
Q3-2010;0.7;1;0.4;0.7;0.6;0.8;0.5;1.8;1.2;0.9;0.4;-2.5;-0.1;1;0.5;0.7;0.7
Q4-2010;1;0.6;0.5;1.1;0.7;0.8;0.6;-0.8;1.2;0.8;1.1;2.8;0.1;1.5;0.7;0.1;0.5
Q1-2011;-0.3;1.5;0.5;0.8;1;1.9;0.3;-1.4;0.9;0.8;0.6;0.1;-0.2;0.7;0.5;0.6;-0.2
Q2-2011;1.2;0.2;0.2;0.2;0.1;0.1;0.1;-0.7;0.6;0.4;-0.1;-0.4;-0.3;0.1;0.5;0.1;0.7
Q3-2011;1.3;0;0.3;1.4;0.2;0.9;-0.5;2.5;0.4;1.9;0;1.6;-0.6;1;-0.3;0.3;0
Q4-2011;1.1;0.2;0.3;0.8;0.3;-0.3;-0.9;-0.2;0.6;0.7;-0.6;0.1;-0.6;-1.2;0.6;0.2;1.2
Q1-2012;0.9;0.9;0.2;0.1;0.1;0.2;-1.1;1.2;0.7;0.6;-0.2;2.2;-0.9;0.2;0.1;0.6;0.8
Q2-2012;0.8;-0.6;0;0.3;-0.2;0.2;-0.8;-0.7;0.7;0.9;0.1;0.2;-1;0.1;0.2;-0.1;0.4
Q3-2012;0.6;0.1;0.2;0.1;0.2;0.3;-0.5;-0.4;0.4;0.6;-0.4;-1.4;-0.5;-0.3;0.5;1.2;0.1
Q4-2012;0.6;-0.1;0;0.2;-0.1;-0.4;-0.8;0.3;0.6;0.8;-0.7;0.8;-0.8;-0.5;0.2;-0.2;0.1
Q1-2013;0.3;-0.5;-0.3;0.9;0;-0.5;-0.8;1.2;0.7;0.3;0.3;0.2;-0.3;1.1;0.4;0.6;0.9
Q2-2013;0.5;0.5;0.6;0.6;0.7;1.1;0;0.8;1.1;-0.7;-0.2;0.7;-0.1;-0.1;0.8;0.5;0.1
Q3-2013;0.8;0.2;0.3;0.8;0;0.5;0.2;0.8;0.9;1;0.6;1;-0.1;0.4;0.7;0.9;0.8
Q4-2013;0.8;0.5;0.2;1.1;0.5;0.3;-0.2;0;0.9;0.5;0.6;-0.2;0.2;0.9;0.2;0.5;0.8
Q1-2014;0.7;0;0.4;0.2;0.1;1;0.1;1;0.9;0.6;-0.1;0.5;0.4;0.7;0.7;0.7;-0.3
Q2-2014;0.5;0;0.3;0.9;0.2;0;0;-1.9;0.7;1.3;0.6;0.7;0.5;0.9;0.6;0.7;1.4
Q3-2014;0.5;0.2;0.7;1;0.5;0.5;0.1;0.1;0.4;0.4;0.3;0.4;0.7;0.7;0.8;0.6;1.2
Q4-2014;0.4;0.3;0.5;0.7;0.1;0.9;-0.2;0.5;0.6;1.1;0.9;1.2;0.9;0.8;0.8;0.6;0.6
Q1-2015;0.9;-0.1;0.5;-0.5;0.5;-0.2;0.2;1.4;0.9;0.6;0.6;-0.3;1.1;1.3;-0.3;0.5;0.8
Q2-2015;0.1;0.6;0.7;-0.3;-0.1;0.6;0.4;0.1;0.2;1;0.3;0.5;1.1;1;0;0.7;0.7
Q3-2015;1.1;0.5;0.2;0.4;0.4;0.5;0.2;-0.1;1.5;1.2;0.3;1.2;0.9;1.3;0.6;0.4;0.3
Q4-2015;0.6;0.1;0.4;0.1;0.2;0.4;0.5;-0.4;0.7;0;0;-0.9;1;0.9;0.4;0.7;0
Q1-2016;0.9;0.8;0.2;0.5;0.6;0.8;0.3;0.5;0.4;0.6;0.9;0.8;0.7;0.2;0.4;0.2;0.5
Q2-2016;0.7;0.4;0.7;-0.5;-0.3;0.6;0.2;0.2;1;0.4;0.2;-0.7;0.4;0.1;0.5;0.5;0.5
Q3-2016;0.2;0.5;0.2;1;0.2;0.2;0.5;0.2;0.5;1.1;1.1;-0.9;0.9;0.4;0.6;0.5;0.5
Q4-2016;1;0.9;0.5;0.6;0.6;0.4;0.3;0.3;0.8;1.1;0.9;2.4;0.5;0.6;0.4;0.6;0.5
Q1-2017;0.3;0.4;0.8;1.2;0.8;1.2;0.5;1.1;0.9;0.5;0.5;0.5;0.8;0.4;0.1;0.6;0.6
Q2-2017;0.6;0.8;0.3;1.2;0.7;0.6;0.4;0.4;0.5;0.3;0.9;0.9;1;1.2;0.7;0.3;0.5
Q3-2017;1;0.8;0.1;0.4;0.7;0.9;0.4;0.6;1.5;-0.3;0.7;0.8;0.5;1.2;0.7;0.3;0.8
Q4-2017;0.5;0.5;0.8;0.4;0.8;0.7;0.5;0.4;-0.1;1.2;0.8;-0.2;0.7;0.2;1;0.4;0.9
Q1-2018;0.9;0.8;0.2;0.5;0.2;0.1;0;-0.5;1;1.3;0.6;0.5;0.5;0.7;1;0.1;0.6
Q2-2018;0.7;0.3;0.3;0.4;0.2;0.4;0;0.5;0.6;-0.2;0.7;0.3;0.5;0.6;0.8;0.5;0.9
Q3-2018;0.3;0.3;0.2;0.6;0.3;-0.1;-0.1;-0.8;0.5;0.3;0.3;0.6;0.5;-0.5;-0.4;0.6;0.7
