;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q3-1971;3.1;1.6;1;2.8;1.6;1.7;1.5;1.2;0.2;1.5;0.7;1.3;1.8;1.8;0.6;1.8;0.8
Q4-1971;-0.3;-0.4;1.4;1.1;0.9;-0.1;0.6;0.9;0.8;2.3;-1.1;1.4;2;-1;0.7;0.4;0.2
Q1-1972;-1.2;3.3;1.3;-0.3;1.3;0.1;1.1;3.3;1.4;2.3;2.9;1.4;1.6;0.5;0.9;0.1;1.8
Q2-1972;2.2;0;1.3;2.8;0.4;1.6;0;1.9;3;2.2;0.5;1.2;2.4;0.2;0.3;2.7;2.3
Q3-1972;-0.5;1.4;1.4;0.3;0.9;2.3;1.3;2.1;1.6;2.2;0.2;1.1;2.2;2.8;0.8;0.3;0.9
Q4-1972;1.1;4.5;1.6;2.4;1.7;1.6;0.5;2.5;4.3;2.2;1.2;0.9;2;1.7;1.8;1.6;1.7
Q1-1973;2.6;-1.4;1.6;2.6;2;1.4;0.9;3.3;3.3;2.1;3.2;0.8;1.8;0.7;0.5;5;2.5
Q2-1973;0.2;2;1.5;1.1;1.1;0.7;3;0.9;4.2;2.1;-0.3;1;1.8;0;-0.1;0.1;1.1
Q3-1973;1;0.4;1.4;0.4;0.9;0.3;3.2;0.3;5.1;1.8;-0.7;1.2;1.7;0.8;0.9;-0.9;-0.5
Q4-1973;2.5;2.1;1.3;1.9;1.3;0.2;2.4;1.2;1.4;1.4;3.9;1.4;1.6;1.4;1.8;-0.4;0.9
Q1-1974;0;2;1.3;0.7;1;0.8;0.8;-3.4;4.2;1.4;0.6;1.5;1.7;-0.5;1.5;-2.7;-0.9
Q2-1974;-2;-0.4;1.3;1.1;0.5;-0.1;1;0.7;-0.3;1.4;1.1;1.3;1.3;1.7;0.3;1.4;0.2
Q3-1974;1.2;0.5;0.2;-0.1;0.9;0;0.2;1.3;1.6;1.4;0.8;1.1;0.7;1.4;-2.4;0.6;-0.9
Q4-1974;0.1;-1.2;-1;-0.5;-1.5;-1.3;-2.1;-0.5;-0.3;1.5;-1.4;0.9;0.1;1.4;-3.6;-1.4;-0.4
Q1-1975;0.4;0.1;-1;-0.6;-0.4;-0.6;-1.7;0.1;1.4;1.4;-2;0.6;-0.5;0.6;-2.1;0.1;-1.2
Q2-1975;3.2;-1;-1;1.3;0.3;-0.5;-0.1;2.2;4.7;1.4;1.4;1;-0.1;-1.2;-1.1;-1.6;0.7
Q3-1975;-1.1;1;0.5;1.9;0.4;1.1;1.4;1.1;2.9;1.2;0.6;1.4;0.4;0.9;-1.1;-0.3;1.7
Q4-1975;-1.5;2.4;2.1;1.2;1.4;2;1.1;1.1;3.1;1.1;3.8;1.8;0.7;1.3;-0.7;1.1;1.3
Q1-1976;4.4;-0.4;2.1;1.7;1.5;0.9;1.8;0.8;2.9;1.1;0.2;2.2;1;-1.7;-0.1;1.6;2.2
Q2-1976;0.3;1.8;2;2.2;1.2;1.5;1.8;0.6;4.8;1;0.1;1.7;1.2;1.8;0.5;-0.2;0.7
Q3-1976;0.8;2.3;0.9;0.4;0.5;0;2.5;1.4;1.9;0.8;3.5;1.3;1;-0.5;1.7;1.3;0.5
Q4-1976;0.9;1.4;-0.3;0.2;1.2;1.9;1.7;0.1;1.1;0.6;-1.7;0.9;0.8;-0.5;1.1;2.1;0.7
Q1-1977;-0.5;0.2;-0.3;1.4;1.1;0.9;0;2.2;1;0.6;1.2;0.5;0.8;-2;-0.1;0;1.2
Q2-1977;1.4;1.4;-0.3;0.5;0.4;0.6;-0.6;0.7;5.1;0.6;0;0.7;0.5;1;0;-0.7;1.9
Q3-1977;-0.4;0.3;0.3;0.5;0.5;0;-0.9;0.7;6;1.4;0.8;0.9;0.3;0.1;0.8;0.7;1.8
Q4-1977;-0.3;2.3;0.9;1.6;0.2;1.7;0.9;1.4;3.8;2.2;1;1;0.7;-0.6;-0.1;1.7;0
Q1-1978;0.7;-4.4;0.9;0.8;1.4;0.4;1.6;1.9;-0.8;2.2;0.3;1.5;0.6;1.6;0;0.9;0.3
Q2-1978;0.8;1.9;0.9;0.7;1.7;0.4;1.7;1;3.1;2.1;0.2;1.6;0.2;1.6;0.2;1.2;3.9
Q3-1978;1.5;0.7;0.6;1;-0.1;1.3;0.5;1.3;1.9;2.2;0.9;1.2;-0.1;-2.1;0;1.4;1
Q4-1978;0.8;0.7;0.4;0.9;0.9;1.2;1.5;1.4;4.8;2.4;1.8;0.1;-0.1;1.6;0.4;0.9;1.3
Q1-1979;2.7;2.3;0.4;0.8;0.9;0.1;1.6;1.5;4.5;2.3;-4.9;-0.4;-0.2;2.1;0.7;-0.4;0.2
Q2-1979;-1.6;1.3;0.4;1.3;1;3.1;0.7;1.8;0.8;2.2;5.8;3;0.2;1.6;0.6;4.4;0.1
Q3-1979;0.9;0.9;1;0.7;1.1;0;1.7;0.8;-2.8;2.1;0.7;2.6;0.2;0.3;0.9;-2.2;0.7
Q4-1979;1.9;1.3;1.6;0.7;0.2;0.6;2.4;0.4;-1.5;1.9;1.5;0.9;0.4;0.1;1.5;1.1;0.3
Q1-1980;0.4;1.1;3.8;0.7;1.1;0.8;-0.2;0.4;0.9;2.8;-0.1;3.9;0.7;3.1;1.9;-0.9;0.3
Q2-1980;0.3;-1;-0.7;0;-0.5;-0.6;0.8;-0.5;-0.5;0.7;-1.9;-2;0.3;-4.8;0.3;-2;-2.1
Q3-1980;0.5;0.5;-1;-0.1;0;-0.4;0.1;2.2;1.9;2.2;-0.7;-1.8;-0.4;3.8;0.7;-0.1;-0.1
